Wheel,LastSyncPulseTime,ArduinoTime,BonsaiTime,RenderFrameCount
0,98,1473,61051832.8576,73
0,98,1483,61051843.1232,73
0,98,1494,61051853.3248,74
0,98,1504,61051863.5136,74
0,98,1514,61051873.7664,75
0,98,1524,61051883.9936,76
0,98,1534,61051894.2976,76
0,98,1544,61051903.552,77
0,98,1554,61051913.6128,77
0,98,1564,61051923.7504,78
0,98,1574,61051934.0416,79
0,98,1584,61051943.4368,79
0,98,1594,61051953.3952,80
0,98,1604,61051963.8016,80
0,98,1614,61051973.9264,81
0,98,1624,61051983.1808,82
0,98,1634,61051993.3184,82
0,98,1644,61052003.5456,83
0,98,1654,61052013.76,83
0,98,1664,61052023.0528,84
0,98,1674,61052033.1392,85
0,98,1684,61052043.4816,85
0,98,1694,61052053.5936,86
0,98,1704,61052063.9232,86
0,98,1714,61052073.1136,87
0,98,1724,61052083.328,88
0,98,1734,61052093.4144,88
0,98,1744,61052103.7184,89
0,98,1754,61052113.1776,89
0,98,1764,61052123.1232,90
0,98,1774,61052133.4272,91
0,98,1784,61052143.6032,91
0,98,1794,61052152.7808,92
0,98,1804,61052163.0464,92
0,98,1814,61052173.3376,93
0,98,1824,61052183.4624,94
0,98,1835,61052193.7664,94
0,98,1845,61052204.0832,95
0,98,1855,61052214.08,95
0,98,1865,61052224.384,96
0,98,1875,61052234.6112,97
0,98,1885,61052243.776,97
0,98,1895,61052254.1184,98
0,98,1905,61052264.256,98
0,98,1915,61052274.368,99
0,98,1925,61052283.6992,100
0,98,1935,61052294.0672,100
0,98,1945,61052304.2688,101
0,98,1955,61052314.2656,101
0,98,1965,61052323.456,102
0,98,1975,61052333.7344,103
0,98,1985,61052344.2176,103
0,98,1995,61052354.176,104
0,98,2006,61052364.3648,104
0,98,2016,61052374.5536,105
0,98,2026,61052384.9088,106
0,98,2036,61052395.0336,106
0,98,2046,61052405.312,107
0,98,2056,61052414.656,107
0,98,2066,61052424.7424,108
0,98,2076,61052435.136,109
0,98,2086,61052445.1968,109
0,98,2096,61052454.4,110
0,98,2106,61052464.5504,110
0,98,2116,61052474.9696,111
0,98,2126,61052485.1584,112
0,98,2136,61052494.2464,112
0,98,2146,61052504.4864,113
0,98,2156,61052514.7392,114
0,98,2166,61052524.864,114
0,98,2176,61052534.1696,115
0,98,2186,61052544.32,115
0,98,2196,61052554.5088,116
0,98,2206,61052564.864,117
0,98,2216,61052575.0656,117
0,98,2226,61052585.856,118
0,98,2236,61052594.4192,118
0,98,2246,61052604.5824,119
0,98,2256,61052614.976,120
0,98,2266,61052624.1152,120
0,98,2276,61052634.2272,121
0,98,2286,61052644.5056,121
0,98,2296,61052654.912,122
0,98,2306,61052664.192,122
0,98,2316,61052674.0992,123
0,98,2326,61052684.4032,124
0,98,2336,61052694.5536,124
0,98,2347,61052704.7808,125
0,98,2357,61052715.1744,126
0,98,2367,61052725.2992,126
0,98,2377,61052735.616,127
0,98,2387,61052745.7152,127
0,98,2397,61052754.8928,128
0,98,2407,61052765.1968,129
0,98,2417,61052776.1664,129
0,98,2427,61052785.7024,130
0,98,2437,61052794.7776,130
0,98,2447,61052805.0944,131
0,98,2457,61052815.1808,132
0,98,2467,61052825.3312,132
0,98,2477,61052834.5728,133
0,98,2487,61052844.8384,133
0,98,2497,61052855.0912,134
0,98,2507,61052865.3824,135
0,98,2518,61052876.3392,135
0,98,2528,61052885.824,136
0,98,2538,61052896.2048,136
0,98,2548,61052906.2272,137
0,98,2558,61052916.5696,138
0,98,2568,61052925.6192,138
0,98,2578,61052935.936,139
0,98,2588,61052946.0992,139
0,98,2598,61052956.3008,140
0,98,2608,61052965.5168,141
0,98,2618,61052975.68,141
0,98,2628,61052985.9584,142
0,98,2638,61052996.1728,142
0,98,2648,61053005.4272,143
0,98,2658,61053015.552,144
0,98,2668,61053026.0096,144
0,98,2678,61053036.0832,145
0,98,2688,61053045.184,145
0,98,2698,61053055.3728,146
0,98,2708,61053065.7792,147
0,98,2718,61053075.84,147
0,98,2728,61053086.1056,148
0,98,2738,61053096.2688,148
0,98,2748,61053105.5488,149
0,98,2758,61053115.6864,150
0,98,2768,61053125.9648,150
0,98,2778,61053135.2192,151
0,98,2788,61053145.4208,151
0,98,2798,61053155.5328,152
0,98,2808,61053165.8368,153
0,98,2818,61053175.0912,153
0,98,2828,61053185.4208,154
0,98,2838,61053195.6096,154
0,98,2848,61053205.8368,155
0,98,2859,61053215.8592,156
0,98,2869,61053226.3168,156
0,98,2879,61053236.5184,157
0,98,2889,61053246.6304,157
0,98,2899,61053256.7936,158
0,98,2909,61053266.0096,159
0,98,2919,61053276.1984,159
0,98,2929,61053286.4896,160
0,98,2939,61053296.8576,160
0,98,2949,61053305.9072,161
0,98,2959,61053316.1344,162
0,98,2969,61053326.4384,162
0,98,2979,61053336.9344,163
0,98,2989,61053345.7664,163
0,98,2999,61053356.096,164
0,98,3009,61053366.3872,165
0,98,3019,61053376.5248,165
0,98,3030,61053386.6624,166
0,98,3040,61053396.8512,166
0,98,3050,61053407.2192,167
0,98,3060,61053417.28,168
0,98,3070,61053427.5968,168
0,98,3080,61053436.8384,169
0,98,3090,61053446.9376,169
0,3096,3100,61053457.2928,170
0,3096,3110,61053467.584,171
0,3096,3120,61053476.7872,171
0,3096,3130,61053486.9632,172
0,3096,3140,61053497.152,172
0,3096,3150,61053507.3792,173
0,3096,3160,61053516.544,174
0,3096,3170,61053526.848,174
0,3096,3180,61053537.152,175
0,3096,3190,61053547.2128,175
0,3096,3200,61053556.5056,176
0,3096,3210,61053566.6816,177
0,3096,3220,61053576.9728,177
0,3096,3230,61053587.0464,178
0,3096,3240,61053597.4656,178
0,3096,3250,61053606.5408,179
0,3096,3260,61053616.9472,180
0,3096,3270,61053627.1232,180
0,3096,3280,61053637.248,181
0,3096,3290,61053646.4384,181
0,3096,3300,61053656.64,182
0,3096,3310,61053667.072,183
0,3096,3320,61053677.2096,183
0,3096,3330,61053686.336,184
0,3096,3340,61053696.6016,184
0,3096,3350,61053706.8032,185
0,3096,3360,61053717.056,186
0,3096,3371,61053727.232,186
0,3096,3381,61053737.3824,187
0,3096,3391,61053747.7376,187
0,3096,3401,61053757.9392,188
0,3096,3411,61053768.128,189
0,3096,3421,61053777.3184,189
0,3096,3431,61053787.6864,190
0,3096,3441,61053797.9136,190
0,3096,3451,61053807.9616,191
0,3096,3461,61053817.2544,192
0,3096,3471,61053829.056,192
0,3096,3481,61053837.6832,193
0,3096,3491,61053847.8208,193
0,3096,3501,61053857.0368,194
0,3096,3511,61053867.328,195
0,3096,3521,61053877.5168,195
0,3096,3531,61053887.7312,196
0,3096,3542,61053897.984,196
0,3096,3552,61053908.2368,197
0,3096,3562,61053918.4128,198
0,3096,3572,61053928.5888,198
0,3096,3582,61053938.9184,199
0,3096,3592,61053948.1088,199
0,3096,3602,61053959.0528,200
0,3096,3612,61053968.5376,201
0,3096,3622,61053978.752,201
0,3096,3632,61053987.9424,202
0,3096,3642,61053998.3232,203
0,3096,3652,61054008.4992,203
0,3096,3662,61054018.5472,204
0,3096,3672,61054027.7248,204
0,3096,3682,61054038.2208,205
0,3096,3692,61054048.2944,205
0,3096,3702,61054058.368,206
0,3096,3712,61054067.7888,207
0,3096,3722,61054077.8368,207
0,3096,3732,61054088.1152,208
0,3096,3742,61054098.4064,209
0,3096,3752,61054109.2224,209
0,3096,3762,61054117.7728,210
0,3096,3772,61054128.0128,210
0,3096,3782,61054138.24,211
0,3096,3792,61054148.4288,212
0,3096,3802,61054157.568,212
0,3096,3812,61054167.8848,213
0,3096,3822,61054178.4064,213
0,3096,3832,61054188.3008,214
0,3096,3842,61054197.5424,214
0,3096,3852,61054207.7312,215
0,3096,3862,61054217.9712,216
0,3096,3872,61054228.3264,216
0,3096,3883,61054238.4,217
0,3096,3893,61054248.6912,218
0,3096,3903,61054258.9696,218
0,3096,3913,61054269.12,219
0,3096,3923,61054279.2832,219
0,3096,3933,61054288.5376,220
0,3096,3943,61054298.7392,221
0,3096,3953,61054308.9664,221
0,3096,3963,61054319.168,222
0,3096,3973,61054328.3328,222
0,3096,3983,61054338.6496,223
0,3096,3993,61054348.864,224
0,3096,4003,61054359.04,224
0,3096,4013,61054368.2944,225
0,3096,4023,61054378.4448,225
0,3096,4033,61054388.6976,226
0,3096,4043,61054398.9376,227
0,3096,4054,61054409.0624,227
0,3096,4064,61054419.4304,228
0,3096,4074,61054429.6192,228
0,3096,4084,61054439.7312,229
0,3096,4094,61054450.0352,230
0,3096,4104,61054459.2,230
0,3096,4114,61054469.5552,231
0,3096,4124,61054479.7568,231
0,3096,4134,61054489.8048,232
0,3096,4144,61054499.0976,233
0,3096,4154,61054509.44,233
0,3096,4164,61054519.6032,234
0,3096,4174,61054529.856,234
0,3096,4184,61054539.0336,235
0,3096,4194,61054549.2224,236
0,3096,4204,61054559.4752,236
0,3096,4214,61054569.6512,237
0,3096,4224,61054578.8288,237
0,3096,4234,61054589.1584,238
0,3096,4244,61054599.3088,239
0,3096,4254,61054609.536,239
0,3096,4264,61054619.7376,240
0,3096,4274,61054628.9408,240
0,3096,4284,61054639.3984,241
0,3096,4294,61054649.4208,242
0,3096,4304,61054659.6096,242
0,3096,4314,61054668.7616,243
0,3096,4324,61054679.0272,243
0,3096,4334,61054689.2288,244
